datetime, temperature
2019-09-26 09:40, 44.5
2019-09-26 09:50, 44.5
2019-09-26 10:00, 44.5
2019-09-26 10:10, 44.0
2019-09-26 10:20, 45.1
2019-09-26 10:30, 44.5
2019-09-26 10:40, 44.0
2019-09-26 10:50, 45.1
2019-09-26 11:00, 44.5
2019-09-26 11:10, 44.0
2019-09-26 11:20, 44.0
2019-09-26 11:30, 44.5
2019-09-26 11:40, 44.0
2019-09-26 11:50, 44.0
2019-09-26 12:00, 44.5
2019-09-26 12:10, 44.0
2019-09-26 12:20, 44.0
2019-09-26 12:30, 44.0
2019-09-26 12:40, 44.5
2019-09-26 12:50, 44.0
2019-09-26 13:00, 44.5
2019-09-26 13:10, 44.0
2019-09-26 13:20, 44.0
2019-09-26 13:30, 43.5
2019-09-26 13:40, 44.0
2019-09-26 13:50, 44.0
2019-09-26 14:00, 42.9
2019-09-26 14:10, 44.0
2019-09-26 14:20, 44.0
2019-09-26 14:30, 43.5
2019-09-26 14:40, 42.9
2019-09-26 14:50, 42.9
2019-09-26 15:00, 42.4
2019-09-26 15:10, 42.9
2019-09-26 15:20, 42.9
2019-09-26 15:30, 42.4
2019-09-26 15:40, 42.9
2019-09-26 15:50, 42.9
2019-09-26 16:00, 42.9
2019-09-26 16:10, 41.9
2019-09-26 16:20, 42.9
2019-09-26 16:30, 42.9
2019-09-26 16:40, 43.5
2019-09-26 16:50, 42.9
2019-09-26 17:00, 43.5
2019-09-26 17:10, 42.9
2019-09-26 17:20, 43.5
2019-09-26 17:30, 42.9
2019-09-26 17:40, 43.5
2019-09-26 17:50, 42.9
2019-09-26 18:00, 42.9
2019-09-26 18:10, 42.9
2019-09-26 18:20, 43.5
2019-09-26 18:30, 43.5
2019-09-26 18:40, 42.9
2019-09-26 18:50, 43.5
2019-09-26 19:00, 43.5
2019-09-26 19:10, 44.0
2019-09-26 19:20, 44.0
2019-09-26 19:30, 42.9
2019-09-26 19:40, 43.5
2019-09-26 19:50, 44.0
2019-09-26 20:00, 44.0
2019-09-26 20:10, 44.0
2019-09-26 20:20, 44.0
2019-09-26 20:30, 43.5
2019-09-26 20:40, 42.9
2019-09-26 20:50, 42.9
2019-09-26 21:00, 42.9
2019-09-26 21:10, 43.5
2019-09-26 21:20, 42.4
2019-09-26 21:30, 42.9
2019-09-26 21:40, 42.9
2019-09-26 21:50, 42.4
2019-09-26 22:00, 42.9
2019-09-26 22:10, 42.4
2019-09-26 22:20, 42.9
2019-09-26 22:30, 42.9
2019-09-26 22:40, 42.9
2019-09-26 22:50, 42.9
2019-09-26 23:00, 42.9
2019-09-26 23:10, 42.9
2019-09-26 23:20, 42.4
2019-09-26 23:30, 41.9
2019-09-26 23:40, 42.4
2019-09-26 23:50, 41.9
2019-09-27 00:00, 41.9
2019-09-27 00:10, 41.9
2019-09-27 00:20, 41.9
2019-09-27 00:30, 41.9
2019-09-27 00:40, 41.9
2019-09-27 00:50, 41.9
2019-09-27 01:00, 41.9
2019-09-27 01:10, 41.9
2019-09-27 01:20, 41.3
2019-09-27 01:30, 41.9
2019-09-27 01:40, 42.9
2019-09-27 01:50, 41.9
2019-09-27 02:00, 41.9
2019-09-27 02:10, 42.9
2019-09-27 02:20, 42.4
2019-09-27 02:30, 41.9
2019-09-27 02:40, 41.3
2019-09-27 02:50, 41.3
2019-09-27 03:00, 41.9
2019-09-27 03:10, 41.9
2019-09-27 03:20, 42.4
2019-09-27 03:30, 42.9
2019-09-27 03:40, 42.9
2019-09-27 03:50, 42.4
2019-09-27 04:00, 43.5
2019-09-27 04:10, 43.5
2019-09-27 04:20, 44.0
2019-09-27 04:30, 44.0
2019-09-27 04:40, 44.0
